Область, Середній бал ЗНО, Рік
"Вінницька область",134.85,2019
"Вінницька область",136.82,2020
"Волинська область",140.12,2019
"Волинська область",140.91,2020
"Дніпропетровська область",135.30,2019
"Дніпропетровська область",137.26,2020
"Донецька область",132.07,2019
"Донецька область",134.59,2020
"Житомирська область",130.97,2019
"Житомирська область",134.26,2020
"Закарпатська область",130.17,2019
"Закарпатська область",133.65,2020
"Запорізька область",133.99,2019
"Запорізька область",133.51,2020
"Івано-Франківська область",139.31,2019
"Івано-Франківська область",139.62,2020
"Київська область",135.94,2019
"Київська область",135.87,2020
"Кіровоградська область",133.74,2019
"Кіровоградська область",138.33,2020
"Луганська область",130.22,2019
"Луганська область",134.92,2020
"Львівська область",139.72,2019
"Львівська область",141.55,2020
"Миколаївська область",132.60,2019
"Миколаївська область",134.20,2020
"м.Київ",147.47,2019
"м.Київ",149.32,2020
"Одеська область",129.04,2019
"Одеська область",131.33,2020
"Полтавська область",134.04,2019
"Полтавська область",138.43,2020
"Рівненська область",135.47,2019
"Рівненська область",140.35,2020
"Сумська область",135.59,2019
"Сумська область",139.24,2020
"Тернопільська область",135.68,2019
"Тернопільська область",137.11,2020
"Харківська область",139.69,2019
"Харківська область",139.26,2020
"Херсонська область",136.29,2019
"Херсонська область",140.65,2020
"Хмельницька область",135.40,2019
"Хмельницька область",139.13,2020
"Черкаська область",138.54,2019
"Черкаська область",137.93,2020
"Чернівецька область",132.87,2019
"Чернівецька область",138.41,2020
"Чернігівська область",136.06,2019
"Чернігівська область",139.89,2020
